Make them need to use their words to get the things they want.,1
Middle class Indians and Chinese are thus roughly comparable in the range of benefits they can get from the society.Edit: There seems to be some confusion in the comment thread on what Middle Class means,0
Muslims as a whole a better comparison would be comparing two people from the same locality/caste/class background but only differ by religion,0
The angry masses of East Pakistan whose traditional grievance got aggravated by the cyclone came in large numbers to provide a thumping victory to Mujibur Rahman led Awami league,0
It is in raising kids where expat Indians often face a pain,0
Within the next 20 months India tested its first bomb.Indira Gandhi knew that the west would react harshly but she had very little to lose,0
Maybe,1
In the present day again we have one group that is primarily right on religion but left on economics (the Sangh parivar & a lot of BJP) one group that is right on economics but not as much on religion (the Swarajya group the economists Jagdish Bhagwati Aravinda Panagariya Gurucharan Das & Ashok Desai) and the rest who are right on both aspects (one faction of BJP such as Arun Shourie),0
I Major Ziaur Rahman do hereby declare the Independence of Bangladesh in the name of our great leader Sheikh Mujibur Rahman.[This day is now celebrated as the Bangladesh independence day,0
Names with equivalent popularity/trends that aren't "black names" don't get nearly as much hatred,1
There are 3 close towns that each claim to be the birthplace of Siddhartha and the capital of that kingdom,0
Only a small fraction of India is in middle or upper middle,0
I don't want to force a woman to go through pregnancy and then adoption/child-raising just because she was irresponsible.In fact do you really want the woman who was repeatedly irresponsible and doesn't want a baby to be forced to raise a child?,1
Theres nothing batch-specific about the post though.,2
All colonies lost at least one of the two,0
I didn't.I don't want to highlight specific skills (languages software etc) but it does need to be on my resume somewhere.I wanted a one page resume,1
18
Mind you what Palash Sen said is neither new in content nor category,2
Wouldn't you want to throw this journalist through a window?https://m.youtube.com/watch?v=sj...The same thing happens here on Quora - on a much smaller scale - We get asked the same questions over and over and over,3
What about the minority of Kashmiri Muslims that love India? What about their fate if the state is taken over by Pakistan? What about the fate of Kashmir's non-Muslims? The state of Jammu & Kashmir especially has large regions of Hindu and Buddhist populations whose fate is dreadful if India gives up the state,0
You're giving up something that will help you in many parts of life,1
